Euphausia crystallorophias,Euphausia frigida,Euphausia superba,Thysanoessa gregaria,Thysanoessa macrura,Total,Sample.ID,Sample
0,0,127111,19518,0,147464,X124A,124A
0,0,0,0,62322,62322,X088A,088A
0,0,123887,0,0,123887,X072A,072A
0,0,88341,0,0,88341,X053A,053A
0,0,0,0,0,25,X143A,143A
0,0,0,0,2118,2118,X117A,117A
0,0,20253,0,0,20253,X122A,122A
0,0,0,0,34,34,X111A,111A
0,0,421,0,28,449,X152A,152A
0,0,44189,0,0,44189,X049A,049A
4,179,156794,0,5,157163,X145A,145A
0,0,79924,0,0,79924,X063A,063A
0,0,185918,0,21053,216119,X147A,147A
0,0,83353,0,0,83353,X134A,134A
819,3218,122056,0,612,141089,X148A,148A
0,0,68192,0,0,68192,X103A,103A
0,0,0,0,0,7901,X093A,093A
0,0,0,0,1684,1684,X119A,119A
0,0,36450,0,101763,139064,X149A,149A
0,0,45668,0,0,45669,X068A,068A
0,0,0,0,16855,17019,X055A,055A
0,0,130149,0,0,130149,X056A,056A
0,0,108156,0,0,108156,X153A,153A
44036,0,0,0,0,44036,X126A,126A
0,0,180659,0,1,180660,X083A,083A
0,0,4027,0,0,5349,X081A,081A
0,0,0,0,0,14,X133A,133A
0,0,0,0,0,2,X098A,098A
0,0,5210,0,0,5210,X089A,089A
0,5968,172435,1,45,180907,X146A,146A
0,0,77775,0,0,77775,X052A,052A
0,3964,6994,0,97440,109607,X157A,157A
0,0,51515,0,0,51516,X064A,064A
0,0,34,0,3,37,X073A,073A
0,0,703,0,0,17427,X135A,135A
0,0,368,0,0,368,X166A,166A
0,0,0,1,366,367,X095A,095A
1,0,118168,0,0,118169,X051A,051A
0,0,31396,1,79727,115512,X155A,155A
0,734,7948,0,24531,33695,X156A,156A
0,0,75,0,0,75,X125A,125A
0,0,19054,0,0,19054,X086A,086A
0,0,38695,0,0,38695,X047A,047A
0,0,51271,0,5381,56660,X059A,059A
0,0,88920,0,257,89180,X115A,115A
0,0,0,0,0,1136,X127A,127A
34633,0,0,0,0,34659,X168A,168A
0,0,84076,0,0,84077,X082A,082A
0,0,14531,0,0,15129,X106A,106A
0,0,46264,0,0,46264,X131A,131A
0,0,0,0,0,69,X104A,104A
0,0,62425,0,0,62426,X078A,078A
0,0,67291,0,0,67291,X074A,074A
0,0,128238,0,0,128238,X061A,061A
0,0,54202,50997,0,105492,X114A,114A
0,0,33744,0,0,33821,X141A,141A
0,0,7434,0,0,7434,X137A,137A
0,0,0,0,0,13616,X144A,144A
0,0,0,0,53275,53635,X091A,091A
0,0,86410,0,0,86410,X121A,121A
0,0,0,26632,0,26632,X165A,165A
105,0,19311,0,134250,156397,X161A,161A
19707,0,0,0,0,19707,X128A,128A
0,0,0,0,0,28,X169A,169A
0,0,67635,0,6854,74525,X054A,054A
0,377,3261,0,33124,38161,X142A,142A
0,0,40245,0,0,40245,X066A,066A
0,0,0,33146,0,33146,X136A,136A
0,0,36545,0,0,36545,X118A,118A
0,0,0,0,146,146,X094A,094A
0,0,6424,0,0,6424,X108A,108A
0,0,8675,0,0,8832,X102A,102A
0,0,24924,0,0,24924,X057A,057A
0,0,0,0,0,3831,X129A,129A
0,0,0,0,0,28,X101A,101A
0,0,0,0,0,135522,X130A,130A
0,0,72660,0,44243,118301,X151A,151A
0,0,0,0,0,53146,X071A,071A
0,0,0,0,6619,6619,X172A,172A
0,0,125313,0,0,125314,X058A,058A
0,0,49945,0,39400,89361,X065A,065A
0,0,105002,0,0,105003,X107A,107A
0,0,104730,0,0,104730,X048A,048A
0,0,154074,0,0,154737,X132A,132A
0,527,15548,0,65826,87403,X159A,159A
0,0,0,0,5498,5498,X062A,062A
0,0,7,0,2,9,X096A,096A
0,0,112241,0,0,112241,X079A,079A
0,0,122424,0,0,123618,X077A,077A
0,0,0,0,0,8699,X163A_2,163A
0,1572,4575,0,125995,134476,X158A,158A
0,0,36314,0,23843,91092,X154A,154A
0,0,0,0,55474,55474,X167A,167A
0,0,83964,0,0,83964,X112A,112A
0,0,85591,0,0,85591,X138A,138A
