CTD number,lat_dec,long_dec,presence,count,count.class,depth,CTD category
2,65.64694444,55.30833333,y,<10,10,bottom,2 bottom
3,65.00138889,55.04,n,0,0,bottom,3 bottom
4,64.51083333,55.01055556,n,0,0,bottom,4 bottom
11,63.70861111,60.22888889,n,0,0,bottom,11 bottom
12,64.25638889,60.20861111,n,0,0,bottom,12 bottom
13,64.53888889,60.05916667,n,0,0,bottom,13 bottom
14,65.01166667,60.21333333,n,0,0,bottom,14 bottom
15,65.6725,60.06111111,n,0,0,bottom,15 bottom
16,66.11888889,60.20861111,y,<10,10,bottom,16 bottom
17,66.50888889,60.49833333,n,0,0,bottom,17 bottom
18,66.40222222,60.27,n,0,0,bottom,18 bottom
19,66.67027778,60.47916667,n,0,0,bottom,19 bottom
20,66.81222222,62.26305556,y,<10,10,bottom,20 bottom
21,66.64777778,62.63666667,n,0,0,bottom,21 bottom
22,66.61416667,65.24444444,n,0,0,bottom,22 bottom
23,66.41277778,65.00305556,n,0,0,bottom,23 bottom
24,66.25694444,65.24722222,n,0,0,bottom,24 bottom
25,66.23611111,65.04638889,y,<10,10,bottom,25 bottom
26,66.75416667,65.08972222,n,0,0,bottom,26 bottom
27,65.01083333,65.00861111,n,0,0,bottom,27 bottom
28,64.5,65.01416667,n,0,0,bottom,28 bottom
29,64.0025,65.25833333,n,0,0,bottom,29 bottom
34,63.08805556,70.01805556,n,0,0,bottom,34 bottom
35,70.24416667,70.24416667,n,0,0,bottom,35 bottom
36,63.75527778,70.0475,n,0,0,bottom,36 bottom
37,63.97416667,70.02722222,n,0,0,bottom,37 bottom
38,64.46972222,70.19833333,n,0,0,bottom,38 bottom
39,64.41805556,69.99833333,n,0,0,bottom,39 bottom
40,64.81666667,70.25416667,n,0,0,bottom,40 bottom
41,65.01777778,70.00833333,n,0,0,bottom,41 bottom
42,65.02611111,70.23222222,n,0,0,bottom,42 bottom
43,65.34361111,70.01055556,n,0,0,bottom,43 bottom
44,65.66722222,70.01027778,n,0,0,bottom,44 bottom
45,65.91861111,69.99833333,n,0,0,bottom,45 bottom
46,66.12972222,70.015,n,0,0,bottom,46 bottom
47,68.21805556,75.15,n,0,0,bottom,47 bottom
48,67.78888889,74.86722222,y,10-100,100,bottom,48 bottom
49,67.57833333,74.73305556,y,<10,10,bottom,49 bottom
50,67.01277778,75.135,y,100-1000,1000,bottom,50 bottom
51,66.82222222,75.04638889,n,0,0,bottom,51 bottom
52,66.68583333,75.2325,n,0,0,bottom,52 bottom
53,66.75722222,75.04,n,0,0,bottom,53 bottom
54,66.25194444,75.02611111,n,0,0,bottom,54 bottom
55,65.02416667,75.24222222,n,0,0,bottom,55 bottom
58,,,n,0,0,bottom,58 bottom
59,,,n,0,0,bottom,59 bottom
61,,,n,0,0,bottom,61 bottom
62,,,n,0,0,bottom,62 bottom
63,,,n,0,0,bottom,63 bottom
64,,,n,0,0,bottom,64 bottom
65,,,n,0,0,bottom,65 bottom
2,65.64694444,55.30833333,n,0,0,top,2 top
3,65.00138889,55.04,y,<10,10,top,3 top
4,64.51083333,55.01055556,n,0,0,top,4 top
11,63.70861111,60.22888889,n,0,0,top,11 top
12,64.25638889,60.20861111,n,0,0,top,12 top
13,64.53888889,60.05916667,n,0,0,top,13 top
14,65.01166667,60.21333333,n,0,0,top,14 top
15,65.6725,60.06111111,n,0,0,top,15 top
16,66.11888889,60.20861111,y,10-100,100,top,16 top
17,66.50888889,60.49833333,n,0,0,top,17 top
18,66.40222222,60.27,n,0,0,top,18 top
19,66.67027778,60.47916667,y,10-100,100,top,19 top
20,66.81222222,62.26305556,n,0,0,top,20 top
21,66.64777778,62.63666667,y,10-100,100,top,21 top
22,66.61416667,65.24444444,y,10-100,100,top,22 top
23,66.41277778,65.00305556,y,>1000,1000,top,23 top
24,66.25694444,65.24722222,y,10-100,100,top,24 top
25,66.23611111,65.04638889,y,10-100,100,top,25 top
26,66.75416667,65.08972222,n,0,0,top,26 top
27,65.01083333,65.00861111,y,10-100,100,top,27 top
28,64.5,65.01416667,y,10-100,100,top,28 top
29,64.0025,65.25833333,n,0,0,top,29 top
34,63.08805556,70.01805556,n,0,0,top,34 top
35,70.24416667,70.24416667,y,<10,10,top,35 top
36,63.75527778,70.0475,n,0,0,top,36 top
37,63.97416667,70.02722222,y,<10,10,top,37 top
38,64.46972222,70.19833333,n,0,0,top,38 top
39,64.41805556,69.99833333,n,0,0,top,39 top
40,64.81666667,70.25416667,y,10-100,100,top,40 top
41,65.01777778,70.00833333,n,0,0,top,41 top
42,65.02611111,70.23222222,y,10-100,100,top,42 top
43,65.34361111,70.01055556,n,0,0,top,43 top
44,65.66722222,70.01027778,y,<10,10,top,44 top
45,65.91861111,69.99833333,y,<10,10,top,45 top
46,66.12972222,70.015,n,0,0,top,46 top
47,68.21805556,75.15,n,0,0,top,47 top
48,67.78888889,74.86722222,n,0,0,top,48 top
49,67.57833333,74.73305556,n,0,0,top,49 top
50,67.01277778,75.135,n,0,0,top,50 top
51,66.82222222,75.04638889,n,0,0,top,51 top
52,66.68583333,75.2325,y,<10,10,top,52 top
53,66.75722222,75.04,n,0,0,top,53 top
54,66.25194444,75.02611111,y,<10,10,top,54 top
55,65.02416667,75.24222222,n,0,0,top,55 top
58,,,n,0,0,top,58 top
59,,,n,0,0,top,59 top
61,,,n,0,0,top,61 top
62,,,n,0,0,top,62 top
63,,,n,0,0,top,63 top
64,,,n,0,0,top,64 top
65,,,n,0,0,top,65 top
